Sales Transactions,,,,,
Order,Product,Category,Region,Month,Sales
ORD001,Laptop,Computers & Laptops,West,January,152000
ORD002,Smartphone,Mobile Devices,East,January,98000
ORD003,Tablet,Mobile Devices,North,January,72000
ORD004,Smartwatch,Wearable Devices,South,January,51000
ORD005,Wireless Earbuds,Audio Devices,East,January,43000
ORD006,Gaming Console,Gaming Devices,West,January,67000
ORD007,Smart TV,Home Entertainment,North,January,125000
ORD008,Bluetooth Speaker,Audio Devices,South,January,37000
ORD009,Camera,Cameras & Photography,East,January,92000
ORD010,External Hard Drive,Storage Devices,West,January,45000
ORD011,Smart Home Assistant,Smart Home Devices,South,February,82000
ORD012,Router,Networking Devices,North,February,39000
ORD013,Refrigerator,Home Appliances,East,February,64000
ORD014,Washing Machine,Home Appliances,West,February,72000
ORD015,Laptop,Computers & Laptops,South,February,165000
ORD016,Smartphone,Mobile Devices,North,February,105000
ORD017,Tablet,Mobile Devices,West,February,77000
ORD018,Smartwatch,Wearable Devices,East,February,53000
ORD019,Wireless Earbuds,Audio Devices,South,February,45000
ORD020,Gaming Console,Gaming Devices,North,February,69000
ORD021,Smart TV,Home Entertainment,West,February,132000
ORD022,Bluetooth Speaker,Audio Devices,East,February,39000
ORD023,Camera,Cameras & Photography,North,March,96000
ORD024,External Hard Drive,Storage Devices,South,March,47000
ORD025,Smart Home Assistant,Smart Home Devices,West,March,86000
ORD026,Refrigerator,Home Appliances,East,March,67000
ORD027,Refrigerator,Home Appliances,South,March,67000
ORD028,Washing Machine,Home Appliances,North,March,75000
ORD029,Laptop,Computers & Laptops,North,March,175000
ORD030,Smartphone,Mobile Devices,West,March,112000
ORD031,Tablet,Mobile Devices,East,March,83000
ORD032,Smartwatch,Wearable Devices,South,March,56000
ORD033,Wireless Earbuds,Audio Devices,West,March,48000
ORD034,Gaming Console,Gaming Devices,South,March,72000
ORD035,Smart TV,Home Entertainment,East,March,138000
ORD036,Camera,Cameras & Photography,North,March,100000
ORD037,Camera,Cameras & Photography,West,March,100000
ORD038,External Hard Drive,Storage Devices,South,March,50000
ORD039,Smart Home Assistant,Smart Home Devices,East,March,90000
ORD040,Router,Networking Devices,West,March,43000
ORD041,Refrigerator,Home Appliances,North,March,69000
ORD042,Washing Machine,Home Appliances,South,March,79000
ORD043,Laptop,Computers & Laptops,East,April,185000
ORD044,Smartphone,Mobile Devices,South,April,119000
ORD045,Tablet,Mobile Devices,West,April,87000
ORD046,Smartwatch,Wearable Devices,North,April,59000
ORD047,Wireless Earbuds,Audio Devices,East,April,50000
ORD048,Gaming Console,Gaming Devices,North,April,74000
ORD049,Smart TV,Home Entertainment,South,April,145000
ORD050,Camera,Cameras & Photography,East,April,104000
ORD051,Camera,Cameras & Photography,South,April,104000
ORD052,External Hard Drive,Storage Devices,East,April,52000
ORD053,Smart Home Assistant,Smart Home Devices,North,April,95000
ORD054,Router,Networking Devices,South,April,46000
ORD055,Refrigerator,Home Appliances,West,April,73000
ORD056,Washing Machine,Home Appliances,East,April,82000
ORD057,Laptop,Computers & Laptops,East,April,185000
